epoch,lr,train_loss,val_loss,train_rmse_px,val_rmse_px,epoch_time_sec
1,1.00e-03,0.278202,0.024597,25.3868,7.4534,36.83
2,1.00e-03,0.019877,0.014794,6.7776,5.7577,36.69
3,1.00e-03,0.010188,0.011880,4.8411,5.1359,36.54
4,1.00e-03,0.009433,0.011297,4.6605,5.0105,36.55
5,1.00e-03,0.008193,0.010610,4.3473,4.8426,37.43
6,1.00e-03,0.008062,0.009805,4.3069,4.6535,37.83
7,1.00e-03,0.007702,0.009407,4.2129,4.5545,37.22
8,1.00e-03,0.007267,0.009481,4.0939,4.5713,40.22
9,1.00e-03,0.006443,0.009400,3.8548,4.5512,38.09
10,1.00e-03,0.006322,0.008724,3.8176,4.3743,38.08
11,1.00e-03,0.006055,0.009667,3.7350,4.6170,39.57
12,1.00e-03,0.005714,0.008618,3.6299,4.3472,38.59
13,1.00e-03,0.005707,0.008853,3.6291,4.4112,37.08
14,1.00e-03,0.005481,0.008404,3.5550,4.2910,38.39
15,1.00e-03,0.005240,0.008206,3.4764,4.2488,38.44
16,1.00e-03,0.005102,0.007976,3.4299,4.1777,37.93
17,1.00e-03,0.004941,0.009382,3.3769,4.5380,38.73
18,1.00e-03,0.004855,0.007506,3.3469,4.0495,40.37
19,1.00e-03,0.004572,0.007749,3.2423,4.1142,37.31
20,1.00e-03,0.004747,0.007447,3.3068,4.0310,37.29
21,1.00e-03,0.004619,0.008028,3.2654,4.1894,37.73
22,1.00e-03,0.004443,0.007292,3.2005,3.9881,37.84
23,1.00e-03,0.004306,0.007468,3.1521,4.0367,37.95
24,1.00e-03,0.004308,0.007611,3.1523,4.0711,37.55
25,1.00e-03,0.004535,0.007773,3.2316,4.1288,37.49
26,1.00e-03,0.004413,0.008203,3.1891,4.2383,37.19
27,1.00e-03,0.004224,0.007347,3.1206,4.0040,37.03
28,1.00e-03,0.004363,0.007250,3.1735,3.9741,37.08
29,1.00e-03,0.004352,0.007914,3.1683,4.1570,37.16
30,1.00e-03,0.004237,0.007765,3.1264,4.1191,37.12
31,1.00e-03,0.004418,0.007196,3.1922,3.9642,37.13
32,1.00e-03,0.004133,0.007113,3.0853,3.9322,37.00
33,1.00e-03,0.004135,0.007394,3.0861,4.0226,37.12
34,1.00e-03,0.004186,0.007379,3.1037,4.0065,37.04
35,1.00e-03,0.004113,0.007249,3.0824,3.9752,37.09
36,1.00e-03,0.004162,0.008181,3.0948,4.2308,37.17
37,1.00e-03,0.004111,0.007178,3.0810,3.9475,37.03
38,1.00e-03,0.004199,0.007448,3.1116,4.0237,37.35
39,5.00e-04,0.003951,0.007148,3.0205,3.9415,37.09
40,5.00e-04,0.003813,0.007080,2.9612,3.9205,37.04
41,5.00e-04,0.003897,0.007073,2.9882,3.9278,37.25
42,5.00e-04,0.003833,0.007211,2.9719,3.9630,37.08
43,5.00e-04,0.003840,0.007093,2.9742,3.9268,37.07
44,5.00e-04,0.003836,0.007123,2.9771,3.9330,37.12
45,5.00e-04,0.003876,0.007528,2.9885,4.0566,37.00
46,5.00e-04,0.003888,0.007048,2.9951,3.9106,36.95
47,5.00e-04,0.003910,0.007116,3.0006,3.9333,37.06
48,5.00e-04,0.003864,0.007341,2.9855,3.9998,36.96
49,5.00e-04,0.003874,0.007181,2.9843,3.9527,36.94
50,5.00e-04,0.003839,0.007270,2.9721,3.9767,37.08
51,5.00e-04,0.003824,0.007017,2.9659,3.9065,37.01
52,5.00e-04,0.003740,0.007098,2.9370,3.9330,37.05
53,5.00e-04,0.003800,0.007242,2.9606,3.9703,37.58
54,5.00e-04,0.003864,0.007174,2.9819,3.9560,36.78
55,5.00e-04,0.003757,0.007215,2.9448,3.9564,36.94
56,5.00e-04,0.003803,0.007016,2.9609,3.9058,36.68
57,5.00e-04,0.003724,0.007249,2.9310,3.9672,36.54
58,5.00e-04,0.003703,0.007080,2.9231,3.9260,36.64
59,5.00e-04,0.003737,0.006938,2.9371,3.8809,36.49
60,5.00e-04,0.003848,0.007212,2.9807,3.9606,36.45
61,5.00e-04,0.003847,0.007479,2.9759,4.0338,36.41
62,5.00e-04,0.003720,0.006919,2.9301,3.8796,36.60
63,5.00e-04,0.003730,0.007024,2.9323,3.9109,36.60
64,5.00e-04,0.003794,0.007034,2.9547,3.9130,36.54
65,5.00e-04,0.003689,0.007081,2.9159,3.9227,36.49
66,5.00e-04,0.003803,0.007098,2.9602,3.9321,36.43
67,5.00e-04,0.003763,0.006936,2.9431,3.8836,36.50
68,5.00e-04,0.003641,0.007128,2.8934,3.9346,36.52
69,2.50e-04,0.003566,0.006968,2.8657,3.8889,36.48
70,2.50e-04,0.003587,0.006984,2.8715,3.8918,40.35
71,2.50e-04,0.003506,0.006890,2.8392,3.8675,37.96
72,2.50e-04,0.003526,0.006885,2.8477,3.8672,37.12
73,2.50e-04,0.003545,0.007134,2.8602,3.9349,37.20
74,2.50e-04,0.003555,0.007010,2.8639,3.9044,38.02
75,2.50e-04,0.003552,0.007036,2.8582,3.9095,39.51
76,2.50e-04,0.003513,0.007047,2.8462,3.9125,37.96
77,2.50e-04,0.003555,0.007222,2.8644,3.9717,39.43
78,1.25e-04,0.003447,0.006897,2.8213,3.8708,40.93
79,1.25e-04,0.003450,0.006881,2.8219,3.8667,39.44
80,1.25e-04,0.003437,0.006987,2.8125,3.8938,37.62
81,1.25e-04,0.003405,0.006900,2.8037,3.8702,38.08
82,1.25e-04,0.003419,0.006896,2.8066,3.8708,39.57
83,1.25e-04,0.003421,0.006933,2.8071,3.8820,38.26
84,1.25e-04,0.003390,0.006867,2.7976,3.8623,41.57
85,1.25e-04,0.003399,0.006988,2.8011,3.8949,38.47
86,1.25e-04,0.003421,0.007013,2.8089,3.9087,38.62
87,1.25e-04,0.003425,0.006887,2.8111,3.8663,38.83
88,1.25e-04,0.003384,0.007017,2.7916,3.9030,41.35
89,1.25e-04,0.003413,0.006886,2.8001,3.8684,38.92
90,1.25e-04,0.003385,0.006900,2.7950,3.8730,38.81
91,6.25e-05,0.003328,0.006912,2.7723,3.8746,38.39
92,6.25e-05,0.003337,0.006887,2.7709,3.8679,38.43
93,6.25e-05,0.003330,0.006933,2.7724,3.8816,39.22
94,6.25e-05,0.003323,0.006877,2.7689,3.8649,39.90
95,6.25e-05,0.003329,0.006984,2.7717,3.8936,37.10
96,6.25e-05,0.003353,0.006898,2.7745,3.8726,39.06
97,3.13e-05,0.003321,0.006885,2.7626,3.8672,39.28
98,3.13e-05,0.003302,0.006901,2.7592,3.8716,38.63
99,3.13e-05,0.003304,0.006911,2.7590,3.8750,39.17
