epoch,lr,train_loss,val_loss,train_rmse_px,val_rmse_px,epoch_time_sec
1,1.00e-03,0.040186,0.009131,9.6461,4.4879,38.64
2,1.00e-03,0.005927,0.008235,3.6983,4.2533,37.56
3,1.00e-03,0.005123,0.007540,3.4314,4.0560,36.07
4,1.00e-03,0.004536,0.007217,3.2371,3.9658,35.98
5,1.00e-03,0.004144,0.006886,3.0909,3.8578,35.89
6,1.00e-03,0.003901,0.006723,2.9991,3.8158,34.95
7,1.00e-03,0.003682,0.006510,2.9125,3.7464,34.94
8,1.00e-03,0.003526,0.006702,2.8531,3.8055,34.91
9,1.00e-03,0.003429,0.006214,2.8105,3.6600,34.95
10,1.00e-03,0.003190,0.006655,2.7108,3.7980,35.00
11,1.00e-03,0.003034,0.006081,2.6463,3.6217,35.15
12,1.00e-03,0.002814,0.006136,2.5490,3.6438,35.05
13,1.00e-03,0.002861,0.005956,2.5693,3.5811,35.01
14,1.00e-03,0.002528,0.005972,2.4160,3.5929,34.94
15,1.00e-03,0.002426,0.005888,2.3648,3.5688,35.02
16,1.00e-03,0.002241,0.005749,2.2742,3.5240,35.32
17,1.00e-03,0.002200,0.005665,2.2508,3.4952,35.31
18,1.00e-03,0.001991,0.005835,2.1415,3.5461,35.44
19,1.00e-03,0.001937,0.005522,2.1134,3.4497,35.50
20,1.00e-03,0.001799,0.005429,2.0362,3.4095,35.20
21,1.00e-03,0.001663,0.005474,1.9572,3.4291,35.48
22,1.00e-03,0.001537,0.005347,1.8821,3.3838,35.63
23,1.00e-03,0.001477,0.005808,1.8454,3.5289,35.09
24,1.00e-03,0.001380,0.005418,1.7827,3.4035,34.97
25,1.00e-03,0.001376,0.005447,1.7806,3.4156,35.06
26,1.00e-03,0.001248,0.005429,1.6957,3.4050,35.09
27,1.00e-03,0.001209,0.005494,1.6684,3.4277,35.04
28,1.00e-03,0.001133,0.005549,1.6163,3.4430,35.04
29,5.00e-04,0.000951,0.005432,1.4810,3.4050,35.00
30,5.00e-04,0.000870,0.005482,1.4154,3.4207,35.02
31,5.00e-04,0.000852,0.005474,1.4013,3.4189,35.04
32,5.00e-04,0.000828,0.005511,1.3819,3.4293,35.08
33,5.00e-04,0.000788,0.005446,1.3471,3.4064,34.93
34,5.00e-04,0.000767,0.005445,1.3299,3.4065,35.10
35,2.50e-04,0.000699,0.005509,1.2691,3.4290,35.01
36,2.50e-04,0.000672,0.005495,1.2437,3.4228,34.75
37,2.50e-04,0.000659,0.005542,1.2326,3.4362,34.89
